"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010087","GO:0010087","phloem or xylem histogenesis","6/36","103/21826",1.65540954242436e-08,4.43649757369729e-06,2.73578208590132e-06,"WOX4/ATHB-15/FST/ATHB-8/ACL5/PXY",6
"GO:0009733","GO:0009733","response to auxin","8/36","337/21826",6.17335689842692e-08,8.27229824389207e-06,5.10114227922645e-06,"BG3/FST/UMAMIT5/PIN6/IAA13/AtAUX1/ATHB-8/IAA28",8
"GO:0010065","GO:0010065","primary meristem tissue development","3/36","10/21826",4.90589887665112e-07,4.382602996475e-05,2.70254780222536e-05,"WOX4/ATHB-8/PXY",3
"GO:0060918","GO:0060918","auxin transport","5/36","114/21826",1.17892637386511e-06,5.98872071487239e-05,3.69296603391581e-05,"BG3/UMAMIT5/PIN6/AtAUX1/ACL5",5
"GO:0009914","GO:0009914","hormone transport","5/36","117/21826",1.34075836900128e-06,5.98872071487239e-05,3.69296603391581e-05,"BG3/UMAMIT5/PIN6/AtAUX1/ACL5",5
"GO:0071365","GO:0071365","cellular response to auxin stimulus","4/36","107/21826",2.84977275162935e-05,0.000954673871795832,0.0005887030552708,"BG3/FST/UMAMIT5/PIN6",4
"GO:0010817","GO:0010817","regulation of hormone levels","5/36","254/21826",5.76049281508785e-05,0.00154381207444355,0.000951997233651361,"BG3/UMAMIT5/PIN6/AtAUX1/ACL5",5
"GO:0009834","GO:0009834","plant-type secondary cell wall biogenesis","3/36","88/21826",0.000410691814067474,0.0078618147264345,0.00484801615102206,"UMAMIT5/ATMYB63/AtMYB43",3
"GO:1905392","GO:1905392","plant organ morphogenesis","5/36","445/21826",0.000771133503805493,0.012916486188742,0.00796499737483305,"ATHB-15/PIN6/AtAUX1/IAA28/ATPSK5",5
"GO:2000652","GO:2000652","regulation of secondary cell wall biogenesis","2/36","30/21826",0.00111766447334154,0.0172775411761521,0.0106542575202509,"ATMYB63/AtMYB43",2
"GO:0048507","GO:0048507","meristem development","4/36","282/21826",0.00116043187004006,0.0172775411761521,0.0106542575202509,"WOX4/ATHB-15/ATHB-8/PXY",4
"GO:0048527","GO:0048527","lateral root development","3/36","134/21826",0.00139307785604035,0.0192348935409412,0.0118612658520337,"PIN6/AtAUX1/IAA28",3
"GO:0010014","GO:0010014","meristem initiation","2/36","34/21826",0.00143543981648815,0.0192348935409412,0.0118612658520337,"ATHB-15/ATHB-8",2
"GO:1903338","GO:1903338","regulation of cell wall organization or biogenesis","2/36","46/21826",0.00261557093175809,0.0318624095323259,0.0196480687218192,"ATMYB63/AtMYB43",2
"GO:0009809","GO:0009809","lignin biosynthetic process","2/36","55/21826",0.00371800343571962,0.0414317757243611,0.0255490525872926,"ATMYB63/AtMYB43",2
"GO:0010016","GO:0010016","shoot system morphogenesis","3/36","199/21826",0.00427182165898591,0.0440326232541624,0.0271528745125825,"ATHB-15/ATHB-8/PXY",3
